Mon Aug 19 23:04:43 2024       
+---------------------------------------------------------------------------------------+
| NVIDIA-SMI 545.23.08              Driver Version: 545.23.08    CUDA Version: 12.3     |
|-----------------------------------------+----------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |         Memory-Usage | GPU-Util  Compute M. |
|                                         |                      |               MIG M. |
|=========================================+======================+======================|
|   0  Tesla V100-SXM2-32GB           On  | 00000000:1B:00.0 Off |                    0 |
| N/A   33C    P0              58W / 300W |    393MiB / 32768MiB |      0%      Default |
|                                         |                      |                  N/A |
+-----------------------------------------+----------------------+----------------------+
                                                                                         
+---------------------------------------------------------------------------------------+
| Processes:                                                                            |
|  GPU   GI   CI        PID   Type   Process name                            GPU Memory |
|        ID   ID                                                             Usage      |
|=======================================================================================|
|    0   N/A  N/A      3203      C   julia                                       390MiB |
+---------------------------------------------------------------------------------------+
i:      0, sim time:  0 seconds, wall time:  0 seconds, progress        0.0, Δt:  49.538 ns, CFL: 7.50e-01
i:  13000, sim time: 643.988 μs, wall time: 3.370 minutes, progress 3.726781201626014e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:  13100, sim time: 648.942 μs, wall time: 3.380 minutes, progress 3.7554487493308236e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:  13200, sim time: 653.895 μs, wall time: 3.391 minutes, progress 3.784116297035633e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:  13300, sim time: 658.849 μs, wall time: 3.401 minutes, progress 3.812783844740443e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:  13400, sim time: 663.803 μs, wall time: 3.411 minutes, progress 3.841451392445253e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:  13500, sim time: 668.757 μs, wall time: 3.422 minutes, progress 3.870118940150062e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:  13600, sim time: 673.710 μs, wall time: 3.432 minutes, progress 3.8987864878548715e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:  13700, sim time: 678.664 μs, wall time: 3.442 minutes, progress 3.927454035559681e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:  13800, sim time: 683.618 μs, wall time: 3.453 minutes, progress 3.9561215832644907e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:  13900, sim time: 688.572 μs, wall time: 3.463 minutes, progress 3.9847891309693e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:  14000, sim time: 693.525 μs, wall time: 3.473 minutes, progress 4.01345667867411e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:  14100, sim time: 698.479 μs, wall time: 3.484 minutes, progress 4.0421242263789194e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:  14200, sim time: 703.433 μs, wall time: 3.494 minutes, progress 4.070791774083729e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:  14300, sim time: 708.387 μs, wall time: 3.504 minutes, progress 4.0994593217885385e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:  14400, sim time: 713.340 μs, wall time: 3.515 minutes, progress 4.128126869493348e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:  14500, sim time: 718.294 μs, wall time: 3.525 minutes, progress 4.156794417198158e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:  14600, sim time: 723.248 μs, wall time: 3.536 minutes, progress 4.185461964902967e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:  14700, sim time: 728.202 μs, wall time: 3.546 minutes, progress 4.214129512607777e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:  14800, sim time: 733.155 μs, wall time: 3.556 minutes, progress 4.2427970603125864e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:  14900, sim time: 738.109 μs, wall time: 3.566 minutes, progress 4.2714646080173953e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:  15000, sim time: 743.063 μs, wall time: 3.577 minutes, progress 4.3001321557222056e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:  15100, sim time: 748.017 μs, wall time: 3.587 minutes, progress 4.3287997034270145e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:  15200, sim time: 752.970 μs, wall time: 3.597 minutes, progress 4.357467251131825e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:  15300, sim time: 757.924 μs, wall time: 3.608 minutes, progress 4.3861347988366337e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:  15400, sim time: 762.878 μs, wall time: 3.618 minutes, progress 4.414802346541443e-8, Δt:  49.538 ns, CFL: 7.50e-01
